Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor_1,distribuidor_2,distribuidor_3,distribuidor_4,distribuidor_5
1997,ACTOR IN A LEADING ROLE,Good Will Hunting,Matt Damon,nm0000354,0.0,"Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart",miramax,alliance atlantis communications,bac films,buena vista international,"cecchi gori distribuzione, filmes castello lopes, intersonic, laurenfilm, lider films, lumiã¨re, rcv film distribution, rcv film distribution, rcv film distribution, sf norge a/s, scanbox entertainment, scanbox entertainment, scotia international filmverleih, shochiku-fuji company, spentzos films, svensk filmindustri (sf), united international pictures (uip), finnkino, paris vã­deo, paris vã­deo, rcv home entertainment, sf video, scanbox entertainment, scanbox entertainment, scanbox norge, shochiku home video, transeuropa video entertainment (tve), pay per view, sky jemah films, american broadcasting company (abc), bmg video, buena vista home entertainment, entertainment one benelux, entertainment one benelux, gativideo, hbo max, itvx, imagem filmes, imagem filmes, lionsgate home entertainment, nederlandse christelijke radio-vereniging (ncrv), nelonen, network 10, nickelodeon network, panorama distributions, panorama distributions, paramount home entertainment, paramount home entertainment, rcv home entertainment, scanbox entertainment, scanbox entertainment, shochiku home video, transeuropa video entertainment (tve), transeuropa video entertainment (tve), universum film (ufa), videomax, warner home video, warner home video"
1997,ACTOR IN A LEADING ROLE,The Apostle,Robert Duvall,nm0000380,0.0,Butcher's Run Films,october films,scandinavian entertainment group,triangelfilm,united international pictures (uip),"united international pictures (uip), united international pictures, argentina video home, pay per view, laurenfilm, sandrews video, kinowelt home entertainment, fabulous films, alliance video, new films international"
1997,ACTOR IN A LEADING ROLE,Ulee's Gold,Peter Fonda,nm0001228,0.0,"Clinica Estetico, Motion Picture Corporation of America, Nunez-Gowan",orion pictures,orion home video,cinemania films group,feature film company,"haut et court, new vision films, 21st century pictures, argentina video home, hbo max, kino lorber, mgm home entertainment, movienet, pidax film, splendid film, twentieth century fox, vitã³ria filmes"
1997,ACTOR IN A LEADING ROLE,Wag the Dog,Dustin Hoffman,nm0000163,0.0,"Baltimore Pictures, New Line Cinema, Punch Productions, Tribeca Productions",new line cinema,rainboworld entertainment,concorde filmverleih,entertainment film distributors,"focus film ag, lã­der films, metropolitan filmexport, norsk filmdistribusjon, roadshow entertainment, sandrew film & teater ab, vitã³ria filmes, warner bros pictures, cecchi gori distribuzione, argentina video home, new line home video, new line home video, pay per view, west video, fox network, front row filmed entertainment, argentina video home, playarte home vã­deo, warner home video, hbo max, edko films, roadshow entertainment video, vcl communications, warner home vã­deo, warner home vã­deo"
1997,ACTOR IN A LEADING ROLE,As Good as It Gets,Jack Nicholson,nm0000197,1.0,"TriStar Pictures, Gracie Films",cascade film,columbia tristar egmont film distributors,columbia tristar film,columbia tristar film,"columbia tristar films ab, columbia tristar films italia, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films de argentina, columbia tristar films de espaã±a, columbia tristar films of india, 7mate, 7flix, columbia tristar domestic television, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar television, etv (eesti televisioon), egmont film, goldmax, lk-tel, lk-tel, national broadcasting company (nbc), netflix, paramount channel, pay per view, seven network, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures television, tbs superstation, twilight time"
1997,ACTOR IN A SUPPORTING ROLE,Jackie Brown,Robert Forster,nm0001233,0.0,"Miramax, A Band Apart, Lawrence Bender Productions, Mighty Mighty Afrodite Productions",miramax,bac films,columbia tristar egmont film distributors,columbia tristar films ab,"ect, egmont film, filmes castello lopes, frenetic films, kidmark, a division of trimark entertainment, laurenfilm, lider films, rcv film distribution, rcv film distribution, rcv film distribution, scotia international filmverleih, svenska filminstitutet (sfi), new star home entertainment, buena vista home entertainment, buena vista home entertainment, gativideo, starz, bmg video, impuls home entertainment, nordisk film, tf1 vidã©o, miramax, rcv home entertainment, universum film (ufa), nordisk film, nordisk film, kanaaltwee, rcv home entertainment, rcv home entertainment, lumiã¨re, west video, alliance video, buena vista home entertainment, egmont film, imagem filmes, imagem filmes, imagem filmes, miramax, nitv, paramount channel, paramount home entertainment, paramount home entertainment, paramount home entertainment, paris vã­deo, pay per view, telia"
1997,ACTOR IN A SUPPORTING ROLE,Amistad,Anthony Hopkins,nm0000164,0.0,"Dreamworks Pictures, Home Box Office (HBO), Amblin Entertainment, Parkes/MacDonald Image Nation",dreamworks distribution,quality films,united international pictures (uip),united international pictures (uip),"united international pictures (uip), united international pictures (uip), united international pictures, argentina video home, finnkino, argentina video home, universal pictures finland, universal pictures, mainostelevisio (mtv3), american broadcasting company (abc), paramount home entertainment, paramount films of india, united international pictures (uip), united international pictures (uip), ava, cic vã­deo, cic-taft home video, dreamworks home entertainment, filmes lusomundo, itvx, image entertainment, paramount home entertainment, pay per view, quality films, trifecta entertainment and media, universal home video"
1997,ACTOR IN A SUPPORTING ROLE,As Good as It Gets,Greg Kinnear,nm0001427,0.0,"TriStar Pictures, Gracie Films",cascade film,columbia tristar egmont film distributors,columbia tristar film,columbia tristar film,"columbia tristar films ab, columbia tristar films italia, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films de argentina, columbia tristar films de espaã±a, columbia tristar films of india, 7mate, 7flix, columbia tristar domestic television, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar television, etv (eesti televisioon), egmont film, goldmax, lk-tel, lk-tel, national broadcasting company (nbc), netflix, paramount channel, pay per view, seven network, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures television, tbs superstation, twilight time"
1997,ACTOR IN A SUPPORTING ROLE,Boogie Nights,Burt Reynolds,nm0000608,0.0,"New Line Cinema, Lawrence Gordon Productions, Ghoulardi Film Company",new line cinema,alliance,arthaus filmverleih,entertainment film distributors,"filmes lusomundo, focus film ag, gaga, lã­der films, metropolitan filmexport, norsk filmdistribusjon, roadshow entertainment, sandrew film, warner bros, warner bros, alliance video, argentina video home, edko films, image entertainment, new line home video, pay per view, playarte home vã­deo, rainboworld entertainment, the criterion collection, entertainment in video, kinowelt home entertainment, new line home video, new line home entertainment, panorama entertainment, warner home video, warner home video, warner home video, warner home video, hbo max, alliance atlantis home video, new line home video, new line home video, prooptiki video, roadshow entertainment video, warner home vã­deo"
1997,ACTOR IN A SUPPORTING ROLE,Good Will Hunting,Robin Williams,nm0000245,1.0,"Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart",miramax,alliance atlantis communications,bac films,buena vista international,"cecchi gori distribuzione, filmes castello lopes, intersonic, laurenfilm, lider films, lumiã¨re, rcv film distribution, rcv film distribution, rcv film distribution, sf norge a/s, scanbox entertainment, scanbox entertainment, scotia international filmverleih, shochiku-fuji company, spentzos films, svensk filmindustri (sf), united international pictures (uip), finnkino, paris vã­deo, paris vã­deo, rcv home entertainment, sf video, scanbox entertainment, scanbox entertainment, scanbox norge, shochiku home video, transeuropa video entertainment (tve), pay per view, sky jemah films, american broadcasting company (abc), bmg video, buena vista home entertainment, entertainment one benelux, entertainment one benelux, gativideo, hbo max, itvx, imagem filmes, imagem filmes, lionsgate home entertainment, nederlandse christelijke radio-vereniging (ncrv), nelonen, network 10, nickelodeon network, panorama distributions, panorama distributions, paramount home entertainment, paramount home entertainment, rcv home entertainment, scanbox entertainment, scanbox entertainment, shochiku home video, transeuropa video entertainment (tve), transeuropa video entertainment (tve), universum film (ufa), videomax, warner home video, warner home video"
