Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor
1997,ACTOR IN A LEADING ROLE,Good Will Hunting,Matt Damon,nm0000354,0,Miramax,miramax
1997,ACTOR IN A LEADING ROLE,The Apostle,Robert Duvall,nm0000380,0,Butcher's Run Films,october films
1997,ACTOR IN A LEADING ROLE,Ulee's Gold,Peter Fonda,nm0001228,0,Clinica Estetico,orion pictures
1997,ACTOR IN A LEADING ROLE,Wag the Dog,Dustin Hoffman,nm0000163,0,Baltimore Pictures,new line cinema
1997,ACTOR IN A LEADING ROLE,As Good as It Gets,Jack Nicholson,nm0000197,1,TriStar Pictures,cascade film
1997,ACTOR IN A SUPPORTING ROLE,Jackie Brown,Robert Forster,nm0001233,0,Miramax,miramax
1997,ACTOR IN A SUPPORTING ROLE,Amistad,Anthony Hopkins,nm0000164,0,Dreamworks Pictures,dreamworks distribution
1997,ACTOR IN A SUPPORTING ROLE,As Good as It Gets,Greg Kinnear,nm0001427,0,TriStar Pictures,cascade film
1997,ACTOR IN A SUPPORTING ROLE,Boogie Nights,Burt Reynolds,nm0000608,0,New Line Cinema,new line cinema
1997,ACTOR IN A SUPPORTING ROLE,Good Will Hunting,Robin Williams,nm0000245,1,Miramax,miramax
1997,ACTRESS IN A LEADING ROLE,The Wings of the Dove,Helena Bonham Carter,nm0000307,0,Miramax,miramax
1997,ACTRESS IN A LEADING ROLE,Afterglow,Julie Christie,nm0001046,0,Elysian Dreams,sony pictures
1997,ACTRESS IN A LEADING ROLE,Mrs. Brown,Judi Dench,nm0001132,0,BBC Scotland,buena vista international
1997,ACTRESS IN A LEADING ROLE,As Good as It Gets,Helen Hunt,nm0000166,1,TriStar Pictures,cascade film
1997,ACTRESS IN A LEADING ROLE,Titanic,Kate Winslet,nm0000701,0,Twentieth Century Fox,gma films
1997,ACTRESS IN A SUPPORTING ROLE,L.A. Confidential,Kim Basinger,nm0000107,1,Regency Enterprises,warner bros
1997,ACTRESS IN A SUPPORTING ROLE,In & Out,Joan Cusack,nm0000349,0,Paramount Pictures,paramount
1997,ACTRESS IN A SUPPORTING ROLE,Good Will Hunting,Minnie Driver,nm0000378,0,Miramax,miramax
1997,ACTRESS IN A SUPPORTING ROLE,Boogie Nights,Julianne Moore,nm0000194,0,New Line Cinema,new line cinema
1997,ACTRESS IN A SUPPORTING ROLE,Titanic,Gloria Stuart,nm0001784,0,Twentieth Century Fox,gma films
1997,ART DIRECTION,Gattaca,Art Direction: Jan Roelfs; Set Decoration: Nancy Nye,"nm0736360,nm0638577",0,Columbia Pictures,columbia pictures
1997,ART DIRECTION,Kundun,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,"nm0274721,nm0521302",0,Touchstone Pictures,buena vista pictures distribution
1997,ART DIRECTION,L.A. Confidential,Art Direction: Jeannine Oppewall; Set Decoration: Jay R. Hart,"nm0649223,nm0366345",0,Regency Enterprises,warner bros
1997,ART DIRECTION,Men in Black,Art Direction: Bo Welch; Set Decoration: Cheryl Carasik,"nm0919514,nm0135974",0,Columbia Pictures,sony pictures releasing
1997,ART DIRECTION,Titanic,Art Direction: Peter Lamont; Set Decoration: Michael Ford,"nm0483682,nm0285785",1,Twentieth Century Fox,gma films
1997,CINEMATOGRAPHY,Amistad,Janusz Kaminski,nm0001405,0,Dreamworks Pictures,dreamworks distribution
1997,CINEMATOGRAPHY,Kundun,Roger Deakins,nm0005683,0,Touchstone Pictures,buena vista pictures distribution
1997,CINEMATOGRAPHY,L.A. Confidential,Dante Spinotti,nm0005883,0,Regency Enterprises,warner bros
