Year;Category;Film;FilmId;Name;Productora;winner;dist_1;dist_2;dist_3;dist_4;dist_5;es_streaming
1997;ACTOR IN A LEADING ROLE;Good Will Hunting;tt0119217;Matt Damon;Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart;0.0;miramax;united international pictures;hbo max;warner home video;0;0
1997;ACTOR IN A LEADING ROLE;The Apostle;tt0118632;Robert Duvall;Butcher's Run Films;0.0;united international pictures;0;0;0;0;0
1997;ACTOR IN A LEADING ROLE;Ulee's Gold;tt0120402;Peter Fonda;Clinica Estetico, Motion Picture Corporation of America, Nunez-Gowan;0.0;hbo max;twentieth century fox;0;0;0;0
1997;ACTOR IN A LEADING ROLE;Wag the Dog;tt0120885;Dustin Hoffman;Baltimore Pictures, New Line Cinema, Punch Productions, Tribeca Productions;0.0;new line cinema;warner bros pictures;fox;warner home video;hbo max;0
1997;ACTOR IN A LEADING ROLE;As Good as It Gets;tt0119822;Jack Nicholson;TriStar Pictures, Gracie Films;1.0;columbia tristar film;columbia tristar films;columbia tristar home entertainment;columbia tristar home video;columbia tristar television;0
1997;ACTOR IN A SUPPORTING ROLE;Jackie Brown;tt0119396;Robert Forster;Miramax, A Band Apart, Lawrence Bender Productions, Mighty Mighty Afrodite Productions;0.0;miramax;columbia tristar films;0;0;0;0
1997;ACTOR IN A SUPPORTING ROLE;Amistad;tt0118607;Anthony Hopkins;Dreamworks Pictures, Home Box Office (HBO), Amblin Entertainment, Parkes/MacDonald Image Nation;0.0;united international pictures;universal pictures;0;0;0;0
1997;ACTOR IN A SUPPORTING ROLE;As Good as It Gets;tt0119822;Greg Kinnear;TriStar Pictures, Gracie Films;0.0;columbia tristar film;columbia tristar films;columbia tristar home entertainment;columbia tristar home video;columbia tristar television;0
1997;ACTOR IN A SUPPORTING ROLE;Boogie Nights;tt0118749;Burt Reynolds;New Line Cinema, Lawrence Gordon Productions, Ghoulardi Film Company;0.0;new line cinema;warner bros;warner home video;hbo max;0;0
1997;ACTOR IN A SUPPORTING ROLE;Good Will Hunting;tt0119217;Robin Williams;Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart;1.0;miramax;united international pictures;hbo max;warner home video;0;0
1997;ACTRESS IN A LEADING ROLE;The Wings of the Dove;tt0120520;Helena Bonham Carter;Miramax, Renaissance Dove;0.0;miramax;0;0;0;0;0
1997;ACTRESS IN A LEADING ROLE;Afterglow;tt0118566;Julie Christie;Elysian Dreams, Moonstone Entertainment, Sandcastle 5 Productions;0.0;sony pictures classics;united international pictures;columbia tristar home entertainment;warner home video;0;0
1997;ACTRESS IN A LEADING ROLE;Mrs. Brown;tt0119280;Judi Dench;BBC Scotland, Bord ScannÃ¡n na hÃ‰ireann / The Irish Film Board, Ecosse Films, WGBH;0.0;miramax;0;0;0;0;0
1997;ACTRESS IN A LEADING ROLE;As Good as It Gets;tt0119822;Helen Hunt;TriStar Pictures, Gracie Films;1.0;columbia tristar film;columbia tristar films;columbia tristar home entertainment;columbia tristar home video;columbia tristar television;0
1997;ACTRESS IN A LEADING ROLE;Titanic;tt0120338;Kate Winslet;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;0.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;ACTRESS IN A SUPPORTING ROLE;L.A. Confidential;tt0119488;Kim Basinger;Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.;1.0;warner bros;warner bros pictures;warner home video;fox;0;0
1997;ACTRESS IN A SUPPORTING ROLE;In & Out;tt0119360;Joan Cusack;Paramount Pictures, Spelling Films;0.0;paramount pictures;columbia tristar films;united international pictures;columbia tristar home video;columbia pictures;1
1997;ACTRESS IN A SUPPORTING ROLE;Good Will Hunting;tt0119217;Minnie Driver;Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart;0.0;miramax;united international pictures;hbo max;warner home video;0;0
1997;ACTRESS IN A SUPPORTING ROLE;Boogie Nights;tt0118749;Julianne Moore;New Line Cinema, Lawrence Gordon Productions, Ghoulardi Film Company;0.0;new line cinema;warner bros;warner home video;hbo max;0;0
1997;ACTRESS IN A SUPPORTING ROLE;Titanic;tt0120338;Gloria Stuart;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;0.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;ART DIRECTION;Gattaca;tt0119177;"Art Direction: Jan Roelfs; Set Decoration: Nancy Nye";Columbia Pictures, Jersey Films;0.0;columbia pictures;columbia tristar films;columbia tristar film;columbia tristar home video;sony pictures;0
1997;ART DIRECTION;Kundun;tt0119485;"Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo";Touchstone Pictures, De Fina-Cappa, Dune Films, Refuge Productions Inc.;0.0;0;0;0;0;0;0
