AÑO;CATEGORÍA;PELÍCULA;GANÓ;ESTUDIO;STREAMING
2020;MEJOR PELÍCULA;Ford v Ferrari;NO;20th Century Fox;NO
2020;MEJOR PELÍCULA;The Irishman;NO;Netflix;SI
2020;MEJOR PELÍCULA;Jojo Rabbit;NO;Fox Searchlight Pictures;NO
2020;MEJOR PELÍCULA;Joker;NO;Warner Bros. Pictures;NO
2020;MEJOR PELÍCULA;Little Women;NO;Columbia Pictures, Sony Pictures;NO
2020;MEJOR PELÍCULA;Once Upon a Time…in Hollywood;NO;Columbia Pictures, Heyday Films, Sony Pictures;NO
2020;MEJOR PELÍCULA;Marriage Story;NO;Netflix;SI
2020;MEJOR PELÍCULA;Parasite;SI;CJ ENM;NO
2020;MEJOR PELÍCULA;1917;NO;Universal Pictures, Amblin Partners;NO
2020;ACTRIZ DE REPARTO;Richard Jewell;NO;Warner Bros. Pictures;NO
2020;ACTRIZ DE REPARTO;Marriage Story;SI;Netflix;SI
2020;ACTRIZ DE REPARTO;Jojo Rabbit;NO;Fox Searchlight Pictures;NO
2020;ACTRIZ DE REPARTO;Little Women;NO;Columbia Pictures, Sony Pictures;NO
2020;ACTRIZ DE REPARTO;Bombshell;NO;Lionsgate;NO
2020;ACTOR DE REPARTO;A Beautiful Day in the Neighborhood;NO;Sony Pictures;NO
2020;ACTOR DE REPARTO;The Two Popes;NO;Netflix;SI
2020;ACTOR DE REPARTO;The Irishman;NO;Netflix;SI
2020;ACTOR DE REPARTO;The Irishman;NO;Netflix;SI
2020;ACTOR DE REPARTO;Once Upon a Time…in Hollywood;SI;Columbia Pictures, Heyday Films, Sony Pictures;NO
2020;PELÍCULA INTERNACIONAL;Parasite;SI;CJ ENM;NO
2020;PELÍCULA INTERNACIONAL;Pain and Glory;NO;Sony Pictures;NO
2020;PELÍCULA INTERNACIONAL;Les Misérables;NO;Rectangle Productions;NO
2020;PELÍCULA INTERNACIONAL;Honeyland;NO;Neon;NO
2020;PELÍCULA INTERNACIONAL;Corpus Christi;NO;Film Movement;NO
2020;DOCUMENTAL (CORTOMETRAJE);In the Absence;NO;Field of Vision;NO
2020;DOCUMENTAL (CORTOMETRAJE);Learning to Skateboard in a Warzone (If You’re a Girl);SI;A&E IndieFilms;NO
2020;DOCUMENTAL (CORTOMETRAJE);Life Overtakes Me;NO;Netflix;SI
2020;DOCUMENTAL (CORTOMETRAJE);St. Louis Superman;NO;MTV Documentary Films;NO
2020;DOCUMENTAL (CORTOMETRAJE);Walk Run Cha-Cha;NO;The New York Times Op-Docs;NO
2020;DOCUMENTAL;American Factory;SI;Netflix;SI
2020;DOCUMENTAL;The Edge of Democracy;NO;Netflix;SI
2020;DOCUMENTAL;Honeyland;NO;Neon;NO
2020;DOCUMENTAL;For Sama;NO;PBS, Frontline;NO
2020;DOCUMENTAL;The Cave;NO;National Geographic;NO
2020;CANCIÓN ORIGINAL;Breakthrough;NO;Walt Disney Studios Motion Pictures;NO
2020;CANCIÓN ORIGINAL;Frozen II;NO;Walt Disney Studios Motion Pictures;NO
2020;CANCIÓN ORIGINAL;Harriet;NO;Focus Features;NO
2020;CANCIÓN ORIGINAL;Rocketman;SI;Paramount Pictures;NO
2020;CANCIÓN ORIGINAL;Toy Story 4;NO;Walt Disney Studios Motion Pictures, PIXAR;NO
2020;PELÍCULA ANIMADA;How to Train Your Dragon: The Hidden World;NO;DreamWorks Animation;NO
2020;PELÍCULA ANIMADA;I Lost My Body;NO;Netflix;SI
2020;PELÍCULA ANIMADA;Klaus;NO;Netflix;SI
2020;PELÍCULA ANIMADA;Missing Link;NO;Annapurna Pictures, Laika;NO
2020;PELÍCULA ANIMADA;Toy Story 4;SI;Walt Disney Studios Motion Pictures, PIXAR;NO
2020;GUIÓN ADAPTADO;The Irishman;NO;Netflix;SI
2020;GUIÓN ADAPTADO;Jojo Rabbit;SI;Fox Searchlight Pictures;NO
2020;GUIÓN ADAPTADO;Little Women;NO;Columbia Pictures, Sony Pictures;NO
2020;GUIÓN ADAPTADO;The Two Popes;NO;Netflix;SI
2020;GUIÓN ADAPTADO;Joker;NO;Warner Bros. Pictures;NO
2020;GUIÓN ORIGINAL;Marriage Story;NO;Netflix;SI
2020;GUIÓN ORIGINAL;Once Upon a Time…in Hollywood;NO;Columbia Pictures, Heyday Films, Sony Pictures;NO
2020;GUIÓN ORIGINAL;Parasite;SI;CJ ENM;NO
2020;GUIÓN ORIGINAL;Knives Out;NO;Lionsgate;NO
2020;GUIÓN ORIGINAL;1917;NO;Universal Pictures, Amblin Partners;NO
2020;ACTOR PRINCIPAL;Pain and Glory;NO;Sony Pictures;NO
2020;ACTOR PRINCIPAL;Once Upon a Time…in Hollywood;NO;Columbia Pictures, Heyday Films, Sony Pictures;NO
2020;ACTOR PRINCIPAL;Marriage Story;NO;Netflix;SI
2020;ACTOR PRINCIPAL;Joker;SI;Warner Bros. Pictures;NO
2020;ACTOR PRINCIPAL;The Two Popes;NO;Netflix;SI
2020;ACTRIZ PRINCIPAL;Harriet;NO;Focus Features;NO
2020;ACTRIZ PRINCIPAL;Marriage Story;NO;Netflix;SI
