Año,Serie,Plataforma,Streaming
2020,Better call saul,AMC,no
2020,The Crown,Netflix,si
2020,The Handmaids Tale,Hulu,si
2020,Killing Eve,BBC america,si
2020,The Mandalorian,Disney+,si
2020,Ozark,Netflix,si
2020,Stranger Things,Netflix,si
2020,Succession,HBO,si
2020,Curb Your Enthusiasm,HBO,si
2020,Dead to Me,Netflix,si
2020,The Good Place,NBC,si
2020,Insecure,HBO,si
2020,The Kominsky Method,Netflix,si
2020,The Marvelous Mrs. Maisel,Amazon Prime Video,si
2020,Schitt’s Creek,Pop TV,si
2020,What We Do in the Shadows,FX,si
2020,Little Fires Everywhere,Hulu,si
2020,Mrs. America,FX,si
2020,Unbelievable,Netflix,si
2020,Unorthodox,Netflix,si
2020,Watchmen,HBO,si
2020,American Son,Netflix,si
2020,Bad Education,HBO,si
2020,Dolly Parton: Heartstrings,Netflix,si
2020,El Camino: A Breaking Bad Movie,Netflix,si
2020,Unbreakable Kimmy Schmidt,Netflix,si
2020,Ozark,Netflix,si
2020,This Is Us,NBC,si
2020,The Morning Show,Apple TV+,si
2020,Succession,HBO,si
2020,Pose,FX,si
2020,Succession,HBO,si
2020,The Morning Show,Apple TV+,si
2020,The Crown,Netflix,si
2020,Killing Eve,BBC America,si
2020,Ozark,Netflix,si
2020,Killing Eve,BBC America,si
2020,Euphoria,HBO,si
2020,Succession,HBO,si
2020,The Morning Show,Apple TV+,si
2020,Succession,HBO,si
2020,The Morning Show,Apple TV+,si
2020,Better Call Saul,AMC,no
2020,Succession,HBO,si
2020,The Crown,Netflix,si
2020,Big Little Lies,HBO,si
2020,Ozark,Netflix,si
2020,Westworld,HBO,si
2020,Killing Eve,BBC America,si
2020,Succession,HBO,si
2020,Big Little Lies,HBO,si
2020,The Handmaid's Tale,Hulu,si
2020,black-ish,ABC,si
2020,Black Monday,Showtime,si
2020,The Good Place,NBC,si
2020,The Kominsky Method,Netflix,si
2020,Schitt’s Creek,Pop TV,si
2020,Ramy,Hulu,si
2020,Dead to Me,Netflix,si
2020,The Marvelous Mrs. Maisel,Amazon Prime Video,si
2020,Dead to Me,Netflix,si
2020,Schitt’s Creek,Pop TV,si
2020,Insecure,HBO,si
2020,Brooklyn Nine-Nine,NBC,si
2020,Rami,Hulu,si
2020,The Kominsky Method,Netflix,si
2020,The Marvelous Mrs. Maisel,Amazon Prime Video,si
2020,The Marvelous Mrs. Maisel,Amazon Prime Video,si
2020,Saturday Night Live,NBC,si
2020,GLOW,Netflix,si
2020,The Marvelous Mrs. Maisel,Amazon Prime Video,si
2020,The Bear,Hulu,si
2020,Abbott Elementary,ABC,si
2020,Abbott Elementary,ABC,si
2020,Ted Lasso,Apple TV+,si
2020,Succession,HBO,si
2020,The Crown,Netflix,si
2020,Killing Eve,BBC America,si
2020,Better Call Saul,AMC,no
2020,Ozark,Netflix,si
2020,The Handmaid's Tale,Hulu,si
2020,Schitt’s Creek,Pop TV,si
2020,The Good Place,NBC,si
2020,Insecure,HBO,si
2020,The Kominsky Method,Netflix,si
2020,Curb Your Enthusiasm,HBO,si
2020,The Marvelous Mrs. Maisel,Amazon Prime Video,si
2020,Succession,HBO,si
2020,The Crown,Netflix,si
2020,The Mandalorian,Disney+,si
2020,Killing Eve,BBC America,si
2020,Ozark,Netflix,si
2020,Better Call Saul,AMC,no
2020,Schitt’s Creek,Pop TV,si
2020,The Marvelous Mrs. Maisel,Amazon Prime Video,si
2020,Ted Lasso,Apple TV+,si
2020,What We Do in the Shadows,FX,si
2020,Curb Your Enthusiasm,HBO,si
2020,The Kominsky Method,Netflix,si
